iter	Passed	Remaining
0	12	1271
1	34	1689
2	46	1516
3	63	1534
4	78	1491
5	97	1523
6	125	1663
7	146	1687
8	156	1586
9	171	1543
10	185	1497
11	198	1458
12	212	1423
13	230	1417
14	250	1418
15	267	1402
16	281	1373
17	294	1343
18	308	1316
19	324	1298
20	339	1276
21	353	1253
22	367	1231
23	382	1211
24	397	1192
25	411	1170
26	425	1151
27	439	1131
28	453	1111
29	467	1091
30	481	1072
31	495	1053
32	509	1034
33	524	1017
34	538	1000
35	557	991
36	576	981
37	593	968
38	607	950
39	621	932
40	635	914
41	649	896
42	663	879
43	677	862
44	691	845
45	705	828
46	719	811
47	733	794
48	747	777
49	761	761
50	775	745
51	789	728
52	803	712
53	817	696
54	831	680
55	845	664
56	864	651
57	883	640
58	900	625
59	914	609
60	928	593
61	943	578
62	957	562
63	970	546
64	984	530
65	998	514
66	1012	498
67	1026	483
68	1036	465
69	1049	449
70	1063	434
71	1077	419
72	1092	403
73	1106	388
74	1120	373
75	1134	358
76	1152	344
77	1171	330
78	1187	315
79	1201	300
80	1215	285
81	1229	269
82	1243	254
83	1257	239
84	1271	224
85	1285	209
86	1299	194
87	1313	179
88	1327	164
89	1342	149
90	1355	134
91	1369	119
92	1383	104
93	1397	89
94	1411	74
95	1425	59
96	1443	44
97	1463	29
98	1480	14
99	1495	0
