iter	Passed	Remaining
0	7	761
1	21	1061
2	32	1064
3	43	1045
4	55	1060
5	69	1092
6	81	1079
7	95	1094
8	108	1101
9	122	1103
10	131	1065
11	145	1065
12	159	1069
13	179	1104
14	191	1086
15	203	1070
16	218	1064
17	231	1056
18	238	1018
19	248	992
20	262	987
21	278	988
22	294	984
23	301	954
24	308	924
25	322	919
26	332	900
27	347	892
28	358	877
29	372	868
30	383	854
31	395	840
32	402	817
33	416	808
34	430	799
35	437	777
36	451	768
37	465	759
38	480	751
39	497	745
40	516	743
41	531	733
42	545	723
43	559	712
44	574	702
45	586	688
46	598	674
47	612	663
48	621	647
49	635	635
50	644	619
51	651	601
52	660	585
53	674	574
54	683	559
55	697	548
56	706	533
57	725	525
58	750	521
59	766	510
60	776	496
61	792	485
62	806	473
63	821	461
64	834	449
65	848	437
66	862	424
67	875	412
68	889	399
69	903	387
70	913	372
71	922	358
72	936	346
73	947	332
74	961	320
75	971	306
76	983	293
77	994	280
78	1011	268
79	1032	258
80	1046	245
81	1060	232
82	1075	220
83	1090	207
84	1104	194
85	1116	181
86	1131	169
87	1145	156
88	1160	143
89	1176	130
90	1191	117
91	1205	104
92	1212	91
93	1222	78
94	1229	64
95	1238	51
96	1249	38
97	1264	25
98	1272	12
99	1289	0
