iter	RMSE
0	1.111185902
1	1.073278843
2	1.039352069
3	1.007431694
4	0.9776972816
5	0.9508024603
6	0.9256118338
7	0.9026202797
8	0.8828546629
9	0.8615398848
10	0.8426871159
11	0.8246843141
12	0.8088826456
13	0.7923302722
14	0.7772414532
15	0.7647398987
16	0.7508689337
17	0.7384161199
18	0.7285090553
19	0.7186359368
20	0.7076684115
21	0.6996049315
22	0.6905447272
23	0.6815947813
24	0.6749953596
25	0.6676583163
26	0.6617794818
27	0.6559086314
28	0.6504137351
29	0.6454316006
30	0.640885301
31	0.6370061274
32	0.6320364871
33	0.6286839329
34	0.6234658033
35	0.6198148634
36	0.6164433073
37	0.6130602717
38	0.608460268
39	0.6049341
40	0.6021162257
41	0.5998142944
42	0.5963132134
43	0.5937253702
44	0.5909399326
45	0.5887465805
46	0.5867912684
47	0.5841016976
48	0.5818102093
49	0.5801836588
50	0.5783972306
51	0.5748292754
52	0.5732428357
53	0.5718799069
54	0.5697292204
55	0.5670235432
56	0.5649199996
57	0.5636152416
58	0.5625137479
59	0.561499203
60	0.559697832
61	0.5582477349
62	0.5572096528
63	0.5547849043
64	0.5536675379
65	0.5529402777
66	0.5513870851
67	0.5501213515
68	0.549308946
69	0.5484020149
70	0.5473163927
71	0.5449664521
72	0.5442675508
73	0.5436571277
74	0.5426410878
75	0.5415628184
76	0.5410148553
77	0.5397897158
78	0.538556903
79	0.5380512178
80	0.5364273872
81	0.5354179542
82	0.5344973934
83	0.5328731036
84	0.5309353218
85	0.5300414298
86	0.5294335834
87	0.5284653778
88	0.5276716426
89	0.5273013447
90	0.526503974
91	0.525968145
92	0.525170156
93	0.5240027535
94	0.5235967407
95	0.5224824428
96	0.521709882
97	0.5209968962
98	0.5200195738
99	0.5193509811
100	0.5181638054
101	0.5174428456
102	0.5167272536
103	0.5161536588
104	0.5156219167
105	0.5151229276
106	0.5147117147
107	0.5139460113
108	0.5132651131
109	0.5128085022
110	0.5121942186
111	0.5115407051
112	0.5108602459
113	0.5103102574
114	0.5099567972
115	0.5095399768
116	0.5093454545
117	0.5088723263
118	0.5084371427
119	0.5080519941
120	0.5074789808
121	0.5070314052
122	0.5064764355
123	0.5061294569
124	0.505604414
125	0.5048811798
126	0.5040228718
127	0.502883007
128	0.5022279301
129	0.501774545
130	0.5010600204
131	0.5006303911
132	0.4999246818
133	0.4994634848
134	0.498806485
135	0.4977519354
136	0.4969388406
137	0.4965066134
138	0.4958783895
139	0.4953627372
140	0.4950603426
141	0.4944618251
142	0.4938253274
143	0.4933580776
144	0.4929669695
145	0.4926961329
146	0.4923107845
147	0.4918414062
148	0.491383316
149	0.490835351
150	0.4899159391
151	0.4891966172
152	0.4889486223
153	0.488527299
154	0.4879898241
155	0.4872510988
156	0.4867484498
157	0.4862794702
158	0.4856275355
159	0.4851871764
160	0.4847626367
161	0.4844500426
162	0.4839694084
163	0.483554746
164	0.4828626062
165	0.4825010018
166	0.4820705446
167	0.4816572396
168	0.4811885673
169	0.4805260993
170	0.4799921185
171	0.4792838707
172	0.4788442813
173	0.4784303734
174	0.4779040251
175	0.4772149961
176	0.4768834478
177	0.4761888147
178	0.4755409973
179	0.475134982
180	0.4747850353
181	0.4743509198
182	0.4739629295
183	0.4735289323
184	0.4731993258
185	0.4728810187
186	0.4724262727
187	0.472101831
188	0.4715503395
189	0.4712245101
190	0.4708920953
191	0.4702633902
192	0.4696976623
193	0.4690353211
194	0.4682604511
195	0.4679553624
196	0.4676169872
197	0.4671979727
198	0.4667154979
199	0.4665192359
200	0.4661814568
201	0.4656166813
202	0.4651883384
203	0.4648078043
204	0.464487643
205	0.4641326084
206	0.463834618
207	0.4635528791
208	0.463211193
209	0.4629255695
210	0.4623919722
211	0.4620302458
212	0.461805008
213	0.4615719754
214	0.461302341
215	0.4608737834
216	0.4604729911
217	0.4601362559
218	0.4594174453
219	0.4589811407
220	0.458640665
221	0.4582913239
222	0.4578992221
223	0.4576095174
224	0.4573377729
225	0.4569858744
226	0.4567157044
227	0.456180789
228	0.4558633826
229	0.4556454691
230	0.455269514
231	0.4548856042
232	0.4543935865
233	0.4539559305
234	0.4535990345
235	0.4533191438
236	0.4530236611
237	0.4526653678
238	0.4523967502
239	0.4521483891
240	0.4518719524
241	0.4515827632
242	0.4512553228
243	0.4510156032
244	0.4506774129
245	0.4502589565
246	0.4499198841
247	0.4496876941
248	0.4494506514
249	0.449200102
250	0.4486152935
251	0.4483700364
252	0.448103662
253	0.4478531333
254	0.4475661024
255	0.4473526226
256	0.4467612634
257	0.446459464
258	0.446121694
259	0.4458723499
260	0.4456568575
261	0.445397494
262	0.445158592
263	0.4448646622
264	0.4444981597
265	0.4442261757
266	0.4440179196
267	0.4435336648
268	0.443277801
269	0.4430469207
270	0.4428392707
271	0.4426225485
272	0.4422024085
273	0.441857217
274	0.4416250489
275	0.4413749935
276	0.440935794
277	0.4406862393
278	0.4405003961
279	0.4402955259
280	0.4400319221
281	0.4397326509
282	0.4394693082
283	0.4391810677
284	0.4389247438
285	0.4386865722
286	0.4384678417
287	0.4382435175
288	0.4380283851
289	0.4378523239
290	0.4375545365
291	0.4372836046
292	0.4369859417
293	0.4368126359
294	0.4365392289
295	0.4362208949
296	0.4360354027
297	0.4358064215
298	0.4356067641
299	0.4352052249
300	0.4350449453
301	0.4347828909
302	0.4346309753
303	0.4343143624
304	0.4337840465
305	0.4335829896
306	0.4333612225
307	0.433180859
308	0.4329670514
309	0.4327777361
310	0.4325130496
311	0.4323478719
312	0.4321048835
313	0.4318179715
314	0.4316875292
315	0.4314748478
316	0.4310294587
317	0.4307546497
318	0.4305211572
319	0.4302036683
