iter	Passed	Remaining
0	161	161491
1	168	83869
2	178	59173
3	184	45927
4	189	37777
5	196	32538
6	201	28597
7	207	25719
8	213	23477
9	218	21648
10	224	20213
11	229	18933
12	235	17915
13	242	17057
14	248	16289
15	254	15624
16	261	15092
17	266	14538
18	275	14241
19	282	13833
20	287	13412
21	294	13076
22	299	12718
23	305	12428
24	311	12158
25	317	11879
26	323	11646
27	328	11414
28	334	11194
29	340	11007
30	345	10808
31	351	10641
32	357	10471
33	362	10309
34	370	10226
35	377	10113
36	383	9975
37	388	9837
38	394	9710
39	399	9588
40	405	9488
41	411	9387
42	416	9274
43	422	9187
44	428	9095
45	434	9012
46	440	8922
47	445	8839
48	452	8775
49	457	8695
50	463	8618
51	473	8634
52	478	8558
53	484	8494
54	490	8423
55	495	8354
56	501	8303
57	507	8240
58	512	8176
59	518	8120
60	523	8060
61	529	8003
62	534	7952
63	540	7898
64	545	7844
65	550	7791
66	556	7743
67	561	7702
68	569	7685
69	574	7637
70	580	7595
71	585	7549
72	590	7504
73	596	7463
74	601	7420
75	606	7378
76	612	7339
77	617	7302
78	623	7264
79	628	7227
80	633	7192
81	639	7160
82	644	7125
83	650	7091
84	655	7058
85	661	7027
86	666	6993
87	671	6959
88	677	6932
89	682	6899
90	687	6871
91	692	6839
92	698	6812
93	704	6785
94	709	6757
95	714	6730
96	720	6702
97	725	6678
98	730	6650
99	736	6628
100	741	6603
101	747	6580
102	752	6553
103	757	6529
104	763	6503
105	768	6478
106	773	6456
107	779	6433
108	784	6413
109	790	6391
110	795	6370
111	800	6347
112	806	6328
113	811	6305
114	816	6287
115	822	6265
116	827	6242
117	832	6223
118	837	6201
119	843	6183
120	848	6162
121	853	6145
122	858	6124
123	864	6107
124	869	6085
125	875	6069
126	880	6051
127	886	6040
128	892	6028
129	898	6011
130	904	5997
131	909	5982
132	915	5966
133	921	5954
134	926	5936
135	932	5925
136	938	5912
137	943	5896
138	949	5880
139	958	5887
140	964	5873
141	969	5859
142	974	5843
143	980	5826
144	985	5811
145	991	5797
146	996	5782
147	1001	5766
148	1007	5751
149	1012	5737
150	1018	5724
151	1023	5708
152	1028	5693
153	1033	5679
154	1039	5665
