iter	Logloss
0	0.5650792729
1	0.5010868733
2	0.4588948626
3	0.443197419
4	0.4380139064
5	0.4205834768
6	0.4118239446
7	0.4063957648
8	0.4003851841
9	0.3960796386
10	0.3905887563
11	0.3864684225
12	0.3766587872
13	0.3733205898
14	0.3694323739
15	0.3628205245
16	0.3600669219
17	0.3557516354
18	0.3508102011
19	0.34888891
20	0.3424305042
21	0.340049453
22	0.3364245526
23	0.3324777149
24	0.3266744168
25	0.3239662066
26	0.3217556677
27	0.3188787223
28	0.3174273054
29	0.3141689671
30	0.3114074663
31	0.3085002008
32	0.3071435617
33	0.3058939645
34	0.3004919144
35	0.2988677255
36	0.2960337153
37	0.292286613
38	0.2905729775
39	0.2879918179
40	0.286833181
41	0.2850391818
42	0.2832478373
43	0.2812820095
44	0.2792087887
45	0.277836814
46	0.2761534986
47	0.2726935161
48	0.269828045
49	0.2679117122
