iter	Passed	Remaining
0	29	1425
1	51	1245
2	68	1072
3	91	1049
4	96	872
5	115	843
6	134	825
7	147	771
8	159	727
9	172	689
10	184	654
11	198	628
12	212	605
13	224	578
14	237	554
15	250	532
16	263	510
17	275	490
18	289	472
19	303	455
20	317	438
21	350	446
22	372	437
23	387	419
24	407	407
25	436	402
26	460	392
27	497	390
28	503	364
29	528	352
30	570	349
31	595	334
32	608	313
33	643	302
34	664	284
35	677	263
36	690	242
37	713	225
38	733	206
39	754	188
40	772	169
41	797	151
42	826	134
43	852	116
44	868	96
45	881	76
46	897	57
47	913	38
48	929	18
49	943	0
